"// SYNTAX TEST \"source.ink\"\n" -> comment
"VAR " -> keyword
"x" -> name
" = " -> keyword
"\"Hello world 1\"" -> string
"//<--- storage.type.ink storage.type.var.ink\n" -> comment
"// ^ source.ink\n" -> comment
"//  ^ variable.other.ink\n" -> comment
"//   ^ source.ink\n" -> comment
"//    ^ keyword.operator.assignment.ink\n" -> comment
"//     ^ source.ink\n" -> comment
"//      ^ punctuation.definition.string.begin.ink\n" -> comment
"//       ^^^^^^^^^^^^^ string.quoted.double.ink\n" -> comment
"//                    ^ punctuation.definition.string.end.ink\n" -> comment
"{" -> bracket
"x" -> name
"}" -> bracket
"//<- keyword.control.ink\n" -> comment
"//<~- keyword.control.ink\n" -> comment
"//^ keyword.control.ink\n" -> comment
"Hello " -> content
"{" -> bracket
"\"world\"" -> content
" 2." -> content
"//<----- source.ink\n" -> comment
"//    ^ keyword.control.ink\n" -> comment
"//     ^^^^^^^ keyword.control.ink\n" -> comment
"//            ^ keyword.control.ink\n" -> comment
"//             ^^^^ source.ink\n" -> comment
