"// SYNTAX TEST \"source.ink\"\n" -> comment
"->" -> controlOperator
"f " -> name
"->" -> controlOperator
"//<-- keyword.divert.ink keyword.other.ink\n" -> comment
"//^ source.ink\n" -> comment
"// ^ variable.other.knot.ink\n" -> comment
"//  ^ source.ink\n" -> comment
"//   ^^ keyword.divert.ink keyword.other.ink\n" -> comment
"<>" -> operator
" world" -> content
"//<-- keyword.glue.ink keyword.other.ink\n" -> comment
"//^^^^^^^ source.ink\n" -> comment
"== " -> heading1
"f" -> name
" ==\n" -> heading1
"//<-- storage.knot.ink storage.type.ink\n" -> comment
"//^ source.ink\n" -> comment
"// ^ entity.name.function.ink\n" -> comment
"//  ^ source.ink\n" -> comment
"//   ^^ storage.knot.ink storage.type.ink\n" -> comment
"Hello" -> content
"//<----- source.ink\n" -> comment
"->->" -> controlOperator
"//<-- keyword.divert.ink keyword.other.ink\n" -> comment
"//^^ keyword.divert.ink keyword.other.ink\n" -> comment
