"// SYNTAX TEST \"source.ink\"\n" -> comment
"- " -> controlOperator
"(" -> paren
"start" -> name
")" -> paren
"//<~- keyword.gather.ink\n" -> comment
"// ^ string.label.ink entity.name.label.ink string.quoted.other.ink punctuation.definition.string.label.begin.ink punctuation.definition.string.begin.ink\n" -> comment
"//  ^^^^^ string.label.ink entity.name.label.ink string.quoted.other.ink\n" -> comment
"//       ^ string.label.ink entity.name.label.ink string.quoted.other.ink punctuation.definition.string.label.begin.ink punctuation.definition.string.begin.ink\n" -> comment
"* " -> controlOperator
"[" -> squareBracket
"Choice 1" -> content
"]" -> squareBracket
"//<~- keyword.choice.ink\n" -> comment
"// ^ keyword.choice.suppression.ink keyword.control.ink\n" -> comment
"//  ^^^^^^^^ source.ink\n" -> comment
"//          ^ keyword.choice.suppression.ink keyword.control.ink\n" -> comment
"* " -> controlOperator
"[" -> squareBracket
"Choice 2" -> content
"]" -> squareBracket
"//<~- keyword.choice.ink\n" -> comment
"// ^ keyword.choice.suppression.ink keyword.control.ink\n" -> comment
"//  ^^^^^^^^ source.ink\n" -> comment
"//          ^ keyword.choice.suppression.ink keyword.control.ink\n" -> comment
"* {" -> controlOperator
"} " -> controlOperator
"Impossible choice" -> content
"//<~- keyword.choice.ink\n" -> comment
"// ^ keyword.control.ink\n" -> comment
"//  ^^^^^ keyword.control.ink\n" -> comment
"//       ^ keyword.control.ink\n" -> comment
"//        ^^^^^^^^^^^^^^^^^^^ source.ink\n" -> comment
"* " -> controlOperator
"default" -> content
"//<~- keyword.choice.ink\n" -> comment
"// ^^ keyword.divert.ink keyword.other.ink\n" -> comment
"//   ^ source.ink\n" -> comment
"//    ^^^^^^^ variable.other.knot.ink\n" -> comment
"- " -> controlOperator
"After choice" -> content
"//<~- keyword.gather.ink\n" -> comment
"// ^^^^^^^^^^^^^ source.ink\n" -> comment
"->" -> controlOperator
"start" -> name
"//<- source.ink\n" -> comment
"//<~-- keyword.divert.ink keyword.other.ink\n" -> comment
"// ^ source.ink\n" -> comment
"//  ^^^^^ variable.other.knot.ink\n" -> comment
"== " -> heading1
"default" -> name
" ==\n" -> heading1
"//<-- storage.knot.ink storage.type.ink\n" -> comment
"//^ source.ink\n" -> comment
"// ^^^^^^^ entity.name.function.ink\n" -> comment
"//        ^ source.ink\n" -> comment
"//         ^^ storage.knot.ink storage.type.ink\n" -> comment
"This is default." -> content
"//<---------------- source.ink\n" -> comment
"->" -> controlOperator
"DONE" -> keyword
"//<-- keyword.divert.ink keyword.other.ink\n" -> comment
"//^ source.ink\n" -> comment
"// ^^^^ support.constant.ink\n" -> comment
