"// SYNTAX TEST \"source.ink\"\n" -> comment
"->" -> controlOperator
"hurry_home" -> name
"//<-- keyword.divert.ink keyword.other.ink\n" -> comment
"//^ source.ink\n" -> comment
"// ^^^^^^^^^^ variable.other.knot.ink\n" -> comment
"=== " -> heading1
"hurry_home" -> name
" ===\n" -> heading1
"//<--- storage.knot.ink storage.type.ink\n" -> comment
"// ^ source.ink\n" -> comment
"//  ^^^^^^^^^^ entity.name.function.ink\n" -> comment
"//            ^ source.ink\n" -> comment
"//             ^^^ storage.knot.ink storage.type.ink\n" -> comment
"We hurried home to Savile Row " -> content
"->" -> controlOperator
"as_fast_as_we_could" -> name
"//<----------------------------- source.ink\n" -> comment
"//                           ^ source.ink\n" -> comment
"//                            ^^ keyword.divert.ink keyword.other.ink\n" -> comment
"//                              ^ source.ink\n" -> comment
"//                               ^^^^^^^^^^^^^^^^^^^ variable.other.knot.ink\n" -> comment
"=== " -> heading1
"as_fast_as_we_could" -> name
" ===\n" -> heading1
"//<--- storage.knot.ink storage.type.ink\n" -> comment
"// ^ source.ink\n" -> comment
"//  ^^^^^^^^^^^^^^^^^^^ entity.name.function.ink\n" -> comment
"//                     ^ source.ink\n" -> comment
"//                      ^^^ storage.knot.ink storage.type.ink\n" -> comment
"as fast as we could." -> content
"//<-------------------- source.ink\n" -> comment
"->" -> controlOperator
"DONE" -> keyword
"//<-- keyword.divert.ink keyword.other.ink\n" -> comment
"//^ source.ink\n" -> comment
"// ^^^^ support.constant.ink\n" -> comment
